id,image_id,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
19339,ae6ac285-6887-dd76-4570-d379c786dfae,Arlésiennes (Mistral),Paul Gauguin,1888,1888,1888,France,Oil on jute canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
68433,3826e366-e82a-e853-12e4-b303a1618103,"Sawmill, Outskirts of Paris",Henri Rousseau,1888,1895,c. 1893/95,France,Oil on canvas,Painting,['Modern Art']
72187,ba44b949-8cd7-6aa2-6335-710e0f176315,Still Life with Jug and Knife,Édouard Jean Vuillard,1888,1888,1888/89,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
204686,f37b8965-3643-d101-a401-9c5f033cb312,At the Circus: The Bareback Rider (Au Cirque: Écuyère),Henri de Toulouse-Lautrec,1888,1888,1888,France,Tambourine with oil on vellum painting,Painting,['Painting and Sculpture of Europe']
90333,607d4ff1-578f-79ee-9980-ed133c743e64,An Alcove in the Art Students' League,Charles Courtney Curran,1888,1888,1888,New York City,Oil on canvas,Painting,['Arts of the Americas']
97884,3d6addef-e6cb-a9ca-31b0-522bf6613522,"A Glimpse into Hell, or Fear",Elihu Vedder,1888,1898,1888–98,Rome,Oil on canvas,Painting,['Arts of the Americas']
111377,3cea045a-92d6-36cf-1508-2c99ea740218,For Sunday's Dinner,William Michael Harnett,1888,1888,1888,United States,Oil on canvas,Painting,['Arts of the Americas']
159722,60d5826b-aaa0-68ba-9d6c-fc0bc55c2227,Mrs. Charles Deering (Marion Denison Whipple),John Singer Sargent,1888,1888,1888,United States,Oil on canvas,Painting,['Arts of the Americas']
46450,188eea59-6ece-6197-affb-11445318077b,Paradise Flycatchers and Wisteria,Ren Yi,1887,1897,"Qing dynasty (1644–1911), 1892",China,Hanging scroll; ink and colors on paper,Painting,['Arts of Asia']
46466,b3fc4221-975f-3664-a86c-19451268c85e,Birds on Red Plum,Ren Yi,1887,1897,"Qing dynasty (1644–1911), 1892",China,Hanging scroll; ink and colors on paper,Painting,['Arts of Asia']
46461,e18085b4-2ebd-2c85-617d-2c4a04fbcae2,Mynah and Lotus (清朝 任頤 鹩哥荷花图),Ren Yi,1887,1897,"Qing dynasty (1644–1911), 1885",China,Hanging scroll; ink and colors on paper,Painting,['Arts of Asia']
111436,52ac8996-3460-cf71-cb42-5c4d0aa29b74,The Basket of Apples,Paul Cezanne,1887,1900,c. 1893,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
20556,12731595-67a3-dc3c-efa8-29d75b9cd315,Young Girl with Hat,Berthe Morisot,1887,1895,1892,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Women artists']"
